State,Year,Active Listing Count ,Avg Listing Price
 AK,2012,26495,301629.249
 AK,2013,36704,307276.6404
 AK,2014,33971,314421.3542
 AK,2015,32011,325759.542
 AK,2016,34157,326024.4949
 AK,2017,24620,330155.8923
 AL,2012,312875,193571.345
 AL,2013,446006,194359.1506
 AL,2014,405272,199892.0707
 AL,2015,406207,207732.3227
 AL,2016,372897,216538.7744
 AL,2017,251602,226698.8831
 AR,2012,148267,190982.7237
 AR,2013,234216,189457.9193
 AR,2014,240326,188932.3499
 AR,2015,223085,197653.2609
 AR,2016,208626,203479.4513
 AR,2017,146236,212224.9827
 AZ,2012,255573,274091.1645
 AZ,2013,395513,299181.9848
 AZ,2014,470587,319048.3057
 AZ,2015,409830,335678.6151
 AZ,2016,437599,344895.6815
 AZ,2017,298539,367693.7022
 CA,2012,815351,584730.6054
 CA,2013,1000271,661475.3259
 CA,2014,1194325,713516.8099
 CA,2015,1108698,790092.434
 CA,2016,1035001,842959.9176
 CA,2017,688693,896470.395
 CO,2012,294914,448192.8272
 CO,2013,386482,475403.616
 CO,2014,362980,506805.9594
 CO,2015,308087,566931.0248
 CO,2016,294062,605821.9641
 CO,2017,203702,647205.3284
 CT,2012,242581,497561.3636
 CT,2013,333513,506605.1587
 CT,2014,363692,520908.8023
 CT,2015,370551,529261.3636
 CT,2016,356174,534001.5152
 CT,2017,228126,538830.5916
 DC,2012,16116,626075.6579
 DC,2013,20947,702318.4211
 DC,2014,20342,722128.9474
 DC,2015,14359,754745.1754
 DC,2016,14928,797794.2982
 DC,2017,12410,872514.6199
 DE,2012,73950,301246.8514
 DE,2013,99753,298860.2369
 DE,2014,98204,306631.4286
 DE,2015,91641,316308.2077
 DE,2016,90676,325134.5
 DE,2017,60329,330296.8889
 FL,2012,1316402,321932.0928
 FL,2013,1864163,339958.4213
 FL,2014,2112223,349417.7614
 FL,2015,1889746,385856.0674
 FL,2016,1928202,411620.6703
 FL,2017,1377413,437267.4213
 GA,2012,658385,234588.3184
 GA,2013,1012294,243734.9388
 GA,2014,1067409,257400.6214
 GA,2015,950548,275070.2246
 GA,2016,908703,294368.3677
 GA,2017,622375,305241.4373
 HI,2012,58918,845203.8902
 HI,2013,76618,921648.6111
 HI,2014,87338,979841.358
 HI,2015,90042,1026254.033
 HI,2016,98845,1054351.97
 HI,2017,62325,1158706.465
 IA,2012,120401,181770.3994
 IA,2013,162188,181378.6164
 IA,2014,164532,190383.7002
 IA,2015,158621,198953.75
 IA,2016,145317,214098.6025
 IA,2017,103019,223281.9186
 ID,2012,111745,306117.9348
 ID,2013,157798,312331.3768
